cell_id,condition,dataset,decision,measured_result,order,realization,status
1531ea42856fd5a573783b4a,v0_live_C1,mquake,DEC-066,unavailable,100,2,not_run_calibration_determined
f85b089e8957391defcea21a,v0_live_C1,mquake,DEC-066,unavailable,101,2,not_run_calibration_determined
6eb1e0cf96284f1233ba1787,v0_live_C1,mquake,DEC-066,unavailable,102,2,not_run_calibration_determined
3de1ae321d21104247a756d4,v0_live_C1,mquake,DEC-066,unavailable,103,2,not_run_calibration_determined
9e61bf1861c2513e645a5f52,v0_live_C1,mquake,DEC-066,unavailable,104,2,not_run_calibration_determined
8964e768d1d7ec1efbe3347c,v0_live_C2,mquake,DEC-066,unavailable,100,0,not_run_calibration_determined
f3a1b5aebad27582d78524c4,v0_live_C2,mquake,DEC-066,unavailable,101,0,not_run_calibration_determined
513f971f480f392980966fd4,v0_live_C2,mquake,DEC-066,unavailable,102,0,not_run_calibration_determined
10fbf254a6dc471ca47799ee,v0_live_C2,mquake,DEC-066,unavailable,103,0,not_run_calibration_determined
cd90abd34d1be8d6a706329e,v0_live_C2,mquake,DEC-066,unavailable,104,0,not_run_calibration_determined
570622143c70a1d6b3ac432b,v0_live_C2,mquake,DEC-066,unavailable,100,1,not_run_calibration_determined
bf6c89be5344a58986589c90,v0_live_C2,mquake,DEC-066,unavailable,101,1,not_run_calibration_determined
b5d161bbbe28807c1151cc8e,v0_live_C2,mquake,DEC-066,unavailable,102,1,not_run_calibration_determined
8d9934a42ae0ba966123da54,v0_live_C2,mquake,DEC-066,unavailable,103,1,not_run_calibration_determined
5cbea81db16197676157940c,v0_live_C2,mquake,DEC-066,unavailable,104,1,not_run_calibration_determined
9e1fd95c3857dff4ad7108f9,v0_live_C2,mquake,DEC-066,unavailable,100,2,not_run_calibration_determined
f7084c6fdf91ad88562237cc,v0_live_C2,mquake,DEC-066,unavailable,101,2,not_run_calibration_determined
4479c44075cca5e51dc17261,v0_live_C2,mquake,DEC-066,unavailable,102,2,not_run_calibration_determined
3770bbb5592e24148ddd0e4f,v0_live_C2,mquake,DEC-066,unavailable,103,2,not_run_calibration_determined
3623eecb13b072293335b3a8,v0_live_C2,mquake,DEC-066,unavailable,104,2,not_run_calibration_determined
30c9dfe97b59a4dd44e9a348,S1_LM,mquake,DEC-066,unavailable,100,0,not_run_calibration_determined
421707887505858d536016a1,S1_LM,mquake,DEC-066,unavailable,101,0,not_run_calibration_determined
446cf4cc3d9bf068216c040a,S1_LM,mquake,DEC-066,unavailable,102,0,not_run_calibration_determined
fb812e945ea8b9f5cdf7e046,S1_LM,mquake,DEC-066,unavailable,103,0,not_run_calibration_determined
b27bcc649917180c4448e2f9,S1_LM,mquake,DEC-066,unavailable,104,0,not_run_calibration_determined
ffc7ecc69d64baf76936ccf2,S1_LM,mquake,DEC-066,unavailable,100,1,not_run_calibration_determined
6031260c8b33ca8ee297a364,S1_LM,mquake,DEC-066,unavailable,101,1,not_run_calibration_determined
7b728d0f88c6a36b83674604,S1_LM,mquake,DEC-066,unavailable,102,1,not_run_calibration_determined
fb5dbc92ea5baa7213d26438,S1_LM,mquake,DEC-066,unavailable,103,1,not_run_calibration_determined
e5f49c8bf77ae4b9934ae341,S1_LM,mquake,DEC-066,unavailable,104,1,not_run_calibration_determined
9d6a4063908c3428f6e1f1d4,S1_LM,mquake,DEC-066,unavailable,100,2,not_run_calibration_determined
11d8f6309ec5b7a637ecaeb0,S1_LM,mquake,DEC-066,unavailable,101,2,not_run_calibration_determined
f9c273e7159661dcf68c7744,S1_LM,mquake,DEC-066,unavailable,102,2,not_run_calibration_determined
1b36fdc638ad8ac577ce9c66,S1_LM,mquake,DEC-066,unavailable,103,2,not_run_calibration_determined
b598b8448119ff4208d3be5a,S1_LM,mquake,DEC-066,unavailable,104,2,not_run_calibration_determined
73290d4f4da64ee5688469f5,S1_literal,mquake,DEC-066,unavailable,100,0,not_run_calibration_determined
d01709cf3f909390ebc9330f,S1_literal,mquake,DEC-066,unavailable,101,0,not_run_calibration_determined
bcbd800dbe6f466b1c011632,S1_literal,mquake,DEC-066,unavailable,102,0,not_run_calibration_determined
192e6dcecf86b4edd9d52680,S1_literal,mquake,DEC-066,unavailable,103,0,not_run_calibration_determined
f8a409b45034fe04d4f758c6,S1_literal,mquake,DEC-066,unavailable,104,0,not_run_calibration_determined
afed92ceeece1b77f70776d9,S1_literal,mquake,DEC-066,unavailable,100,1,not_run_calibration_determined
05df3f8395bc7648a8e9193b,S1_literal,mquake,DEC-066,unavailable,101,1,not_run_calibration_determined
d58dd0e979d5d05780f45a0a,S1_literal,mquake,DEC-066,unavailable,102,1,not_run_calibration_determined
d253ba5e4bc408643de3706d,S1_literal,mquake,DEC-066,unavailable,103,1,not_run_calibration_determined
b052c10c54f3236d76d5870b,S1_literal,mquake,DEC-066,unavailable,104,1,not_run_calibration_determined
47b3751412a0e22d51464659,S1_literal,mquake,DEC-066,unavailable,100,2,not_run_calibration_determined
b6a7e6eb69abacc8766d8eba,S1_literal,mquake,DEC-066,unavailable,101,2,not_run_calibration_determined
59b521f62a4201a800f1cbce,S1_literal,mquake,DEC-066,unavailable,102,2,not_run_calibration_determined
158a754813b9f941bef6ba67,S1_literal,mquake,DEC-066,unavailable,103,2,not_run_calibration_determined
430f0095ff1f9f1a15012179,S1_literal,mquake,DEC-066,unavailable,104,2,not_run_calibration_determined
