dataset,condition,realization,checkpoint,source_pointers,primary,near_miss,revision_semantic,cap_benchmark_passes,fidelity
mquake,R1_learned_ff,1,300,"[""/cells/55/checkpoints/300"", ""/cells/56/checkpoints/300"", ""/cells/57/checkpoints/300"", ""/cells/58/checkpoints/300"", ""/cells/59/checkpoints/300""]","{""ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-GS"": [0.7233333333333334, 0.7233333333333334, 0.7233333333333334, 0.7233333333333334, 0.7233333333333334], ""LS"": [1.0, 1.0, 1.0, 1.0, 1.0]}","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0,"{""capoff"": {""mean_kl"": [0.0069369551649231765, 0.0069369551649231765, 0.0069369551649231765, 0.0069369551649231765, 0.0069369551649231765], ""mean_signed_nll"": [0.0069390172955069275, 0.0069390172955069275, 0.0069390172955069275, 0.0069390172955069275, 0.0069390172955069275], ""max_positive_nll"": [17.060533069655875, 17.060533069655875, 17.060533069655875, 17.060533069655875, 17.060533069655875], ""half_kl_positions"": [177, 177, 177, 177, 177]}, ""original"": {""mean_kl"": [0.0069369551649231765, 0.0069369551649231765, 0.0069369551649231765, 0.0069369551649231765, 0.0069369551649231765], ""mean_signed_nll"": [0.0069390172955069275, 0.0069390172955069275, 0.0069390172955069275, 0.0069390172955069275, 0.0069390172955069275], ""max_positive_nll"": [17.060533069655875, 17.060533069655875, 17.060533069655875, 17.060533069655875, 17.060533069655875], ""half_kl_positions"": [177, 177, 177, 177, 177]}}"
mquake,R1_learned_ff,2,300,"[""/cells/100/checkpoints/300"", ""/cells/101/checkpoints/300"", ""/cells/102/checkpoints/300"", ""/cells/103/checkpoints/300"", ""/cells/104/checkpoints/300""]","{""ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-ES"": [0.9966666666666667, 0.9966666666666667, 0.9966666666666667, 0.9966666666666667, 0.9966666666666667], ""RET-GS"": [0.72, 0.72, 0.72, 0.72, 0.72], ""LS"": [1.0, 1.0, 1.0, 1.0, 1.0]}","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0,"{""capoff"": {""mean_kl"": [0.0040920003913531965, 0.0040920003913531965, 0.0040920003913531965, 0.0040920003913531965, 0.0040920003913531965], ""mean_signed_nll"": [0.00413584786045882, 0.00413584786045882, 0.00413584786045882, 0.00413584786045882, 0.00413584786045882], ""max_positive_nll"": [10.253230522864694, 10.253230522864694, 10.253230522864694, 10.253230522864694, 10.253230522864694], ""half_kl_positions"": [112, 112, 112, 112, 112]}, ""original"": {""mean_kl"": [0.0040920003913531965, 0.0040920003913531965, 0.0040920003913531965, 0.0040920003913531965, 0.0040920003913531965], ""mean_signed_nll"": [0.00413584786045882, 0.00413584786045882, 0.00413584786045882, 0.00413584786045882, 0.00413584786045882], ""max_positive_nll"": [10.253230522864694, 10.253230522864694, 10.253230522864694, 10.253230522864694, 10.253230522864694], ""half_kl_positions"": [112, 112, 112, 112, 112]}}"
mquake,R1_nonlearned,0,300,"[""/cells/25/checkpoints/300"", ""/cells/26/checkpoints/300"", ""/cells/27/checkpoints/300"", ""/cells/28/checkpoints/300"", ""/cells/29/checkpoints/300""]","{""ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-GS"": [0.0, 0.0, 0.0, 0.0, 0.0], ""LS"": [0.0, 0.0, 0.0, 0.0, 0.0]}","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0,"{""capoff"": {""mean_kl"": [0.01217625069238381, 0.01217625069238381, 0.01217625069238381, 0.01217625069238381, 0.01217625069238381], ""mean_signed_nll"": [0.012047224059888832, 0.012047224059888832, 0.012047224059888832, 0.012047224059888832, 0.012047224059888832], ""max_positive_nll"": [15.07216313229306, 15.07216313229306, 15.07216313229306, 15.07216313229306, 15.07216313229306], ""half_kl_positions"": [262, 262, 262, 262, 262]}, ""original"": {""mean_kl"": [0.01217625069238381, 0.01217625069238381, 0.01217625069238381, 0.01217625069238381, 0.01217625069238381], ""mean_signed_nll"": [0.012047224059888832, 0.012047224059888832, 0.012047224059888832, 0.012047224059888832, 0.012047224059888832], ""max_positive_nll"": [15.07216313229306, 15.07216313229306, 15.07216313229306, 15.07216313229306, 15.07216313229306], ""half_kl_positions"": [262, 262, 262, 262, 262]}}"
mquake,R1_nonlearned,1,300,"[""/cells/70/checkpoints/300"", ""/cells/71/checkpoints/300"", ""/cells/72/checkpoints/300"", ""/cells/73/checkpoints/300"", ""/cells/74/checkpoints/300""]","{""ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-GS"": [0.0, 0.0, 0.0, 0.0, 0.0], ""LS"": [0.0, 0.0, 0.0, 0.0, 0.0]}","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0,"{""capoff"": {""mean_kl"": [0.01211165488985108, 0.01211165488985108, 0.01211165488985108, 0.01211165488985108, 0.01211165488985108], ""mean_signed_nll"": [0.012087146884670967, 0.012087146884670967, 0.012087146884670967, 0.012087146884670967, 0.012087146884670967], ""max_positive_nll"": [12.77094634013092, 12.77094634013092, 12.77094634013092, 12.77094634013092, 12.77094634013092], ""half_kl_positions"": [263, 263, 263, 263, 263]}, ""original"": {""mean_kl"": [0.01211165488985108, 0.01211165488985108, 0.01211165488985108, 0.01211165488985108, 0.01211165488985108], ""mean_signed_nll"": [0.012087146884670967, 0.012087146884670967, 0.012087146884670967, 0.012087146884670967, 0.012087146884670967], ""max_positive_nll"": [12.77094634013092, 12.77094634013092, 12.77094634013092, 12.77094634013092, 12.77094634013092], ""half_kl_positions"": [263, 263, 263, 263, 263]}}"
mquake,R1_nonlearned,2,300,"[""/cells/115/checkpoints/300"", ""/cells/116/checkpoints/300"", ""/cells/117/checkpoints/300"", ""/cells/118/checkpoints/300"", ""/cells/119/checkpoints/300""]","{""ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-GS"": [0.0, 0.0, 0.0, 0.0, 0.0], ""LS"": [0.0, 0.0, 0.0, 0.0, 0.0]}","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0,"{""capoff"": {""mean_kl"": [0.012229330474151902, 0.012229330474151902, 0.012229330474151902, 0.012229330474151902, 0.012229330474151902], ""mean_signed_nll"": [0.012170898016140904, 0.012170898016140904, 0.012170898016140904, 0.012170898016140904, 0.012170898016140904], ""max_positive_nll"": [14.87381976477378, 14.87381976477378, 14.87381976477378, 14.87381976477378, 14.87381976477378], ""half_kl_positions"": [259, 259, 259, 259, 259]}, ""original"": {""mean_kl"": [0.012229330474151902, 0.012229330474151902, 0.012229330474151902, 0.012229330474151902, 0.012229330474151902], ""mean_signed_nll"": [0.012170898016140904, 0.012170898016140904, 0.012170898016140904, 0.012170898016140904, 0.012170898016140904], ""max_positive_nll"": [14.87381976477378, 14.87381976477378, 14.87381976477378, 14.87381976477378, 14.87381976477378], ""half_kl_positions"": [259, 259, 259, 259, 259]}}"
mquake,v0_stable,0,300,"[""/cells/40/checkpoints/300"", ""/cells/41/checkpoints/300"", ""/cells/42/checkpoints/300"", ""/cells/43/checkpoints/300"", ""/cells/44/checkpoints/300""]","{""ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-GS"": [0.0, 0.0, 0.0, 0.0, 0.0], ""LS"": [1.0, 1.0, 1.0, 1.0, 1.0]}","[1.0, 1.0, 1.0, 1.0, 1.0]","[null, null, null, null, null]",5,"{""capoff"": {""mean_kl"": [0.0, 0.0, 0.0, 0.0, 0.0], ""mean_signed_nll"": [0.0, 0.0, 0.0, 0.0, 0.0], ""max_positive_nll"": [0.0, 0.0, 0.0, 0.0, 0.0], ""half_kl_positions"": [null, null, null, null, null]}, ""original"": {""mean_kl"": [0.0, 0.0, 0.0, 0.0, 0.0], ""mean_signed_nll"": [0.0, 0.0, 0.0, 0.0, 0.0], ""max_positive_nll"": [0.0, 0.0, 0.0, 0.0, 0.0], ""half_kl_positions"": [null, null, null, null, null]}}"
mquake,v0_stable,1,300,"[""/cells/85/checkpoints/300"", ""/cells/86/checkpoints/300"", ""/cells/87/checkpoints/300"", ""/cells/88/checkpoints/300"", ""/cells/89/checkpoints/300""]","{""ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-GS"": [0.0, 0.0, 0.0, 0.0, 0.0], ""LS"": [1.0, 1.0, 1.0, 1.0, 1.0]}","[1.0, 1.0, 1.0, 1.0, 1.0]","[null, null, null, null, null]",5,"{""capoff"": {""mean_kl"": [0.0, 0.0, 0.0, 0.0, 0.0], ""mean_signed_nll"": [0.0, 0.0, 0.0, 0.0, 0.0], ""max_positive_nll"": [0.0, 0.0, 0.0, 0.0, 0.0], ""half_kl_positions"": [null, null, null, null, null]}, ""original"": {""mean_kl"": [0.0, 0.0, 0.0, 0.0, 0.0], ""mean_signed_nll"": [0.0, 0.0, 0.0, 0.0, 0.0], ""max_positive_nll"": [0.0, 0.0, 0.0, 0.0, 0.0], ""half_kl_positions"": [null, null, null, null, null]}}"
mquake,v0_stable,2,300,"[""/cells/130/checkpoints/300"", ""/cells/131/checkpoints/300"", ""/cells/132/checkpoints/300"", ""/cells/133/checkpoints/300"", ""/cells/134/checkpoints/300""]","{""ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-ES"": [1.0, 1.0, 1.0, 1.0, 1.0], ""RET-GS"": [0.0, 0.0, 0.0, 0.0, 0.0], ""LS"": [1.0, 1.0, 1.0, 1.0, 1.0]}","[1.0, 1.0, 1.0, 1.0, 1.0]","[null, null, null, null, null]",5,"{""capoff"": {""mean_kl"": [0.0, 0.0, 0.0, 0.0, 0.0], ""mean_signed_nll"": [0.0, 0.0, 0.0, 0.0, 0.0], ""max_positive_nll"": [0.0, 0.0, 0.0, 0.0, 0.0], ""half_kl_positions"": [null, null, null, null, null]}, ""original"": {""mean_kl"": [0.0, 0.0, 0.0, 0.0, 0.0], ""mean_signed_nll"": [0.0, 0.0, 0.0, 0.0, 0.0], ""max_positive_nll"": [0.0, 0.0, 0.0, 0.0, 0.0], ""half_kl_positions"": [null, null, null, null, null]}}"
zsre,R1_learned_ff,0,1000,"[""/cells/0/checkpoints/1000"", ""/cells/1/checkpoints/1000"", ""/cells/2/checkpoints/1000"", ""/cells/3/checkpoints/1000"", ""/cells/4/checkpoints/1000""]","{""ES"": [0.994, 0.995, 0.994, 0.993, 0.992], ""RET-ES"": [0.977, 0.977, 0.977, 0.977, 0.977], ""RET-GS"": [0.955, 0.955, 0.955, 0.955, 0.955], ""LS"": [1.0, 1.0, 1.0, 1.0, 1.0]}","[0.86, 0.86, 0.86, 0.86, 0.86]","[0.98, 0.98, 0.98, 0.98, 0.98]",0,"{""capoff"": {""mean_kl"": [0.002381492420811497, 0.002381492420811497, 0.002381492420811497, 0.002381492420811497, 0.002381492420811497], ""mean_signed_nll"": [0.0024502257170824966, 0.0024502257170824966, 0.0024502257170824966, 0.0024502257170824966, 0.0024502257170824966], ""max_positive_nll"": [9.262267463622692, 9.262267463622692, 9.262267463622692, 9.262267463622692, 9.262267463622692], ""half_kl_positions"": [69, 69, 69, 69, 69]}, ""original"": {""mean_kl"": [0.002381492420811497, 0.002381492420811497, 0.002381492420811497, 0.002381492420811497, 0.002381492420811497], ""mean_signed_nll"": [0.0024502257170824966, 0.0024502257170824966, 0.0024502257170824966, 0.0024502257170824966, 0.0024502257170824966], ""max_positive_nll"": [9.262267463622692, 9.262267463622692, 9.262267463622692, 9.262267463622692, 9.262267463622692], ""half_kl_positions"": [69, 69, 69, 69, 69]}}"
zsre,R1_learned_ff,1,1000,"[""/cells/45/checkpoints/1000"", ""/cells/46/checkpoints/1000"", ""/cells/47/checkpoints/1000"", ""/cells/48/checkpoints/1000"", ""/cells/49/checkpoints/1000""]","{""ES"": [0.994, 0.996, 0.993, 0.995, 0.996], ""RET-ES"": [0.985, 0.985, 0.985, 0.985, 0.985], ""RET-GS"": [0.965, 0.965, 0.965, 0.965, 0.965], ""LS"": [1.0, 1.0, 1.0, 1.0, 1.0]}","[0.92, 0.92, 0.92, 0.92, 0.92]","[0.98, 0.98, 0.98, 0.98, 0.98]",0,"{""capoff"": {""mean_kl"": [0.00244796962532886, 0.00244796962532886, 0.00244796962532886, 0.00244796962532886, 0.00244796962532886], ""mean_signed_nll"": [0.0025530208561313976, 0.0025530208561313976, 0.0025530208561313976, 0.0025530208561313976, 0.0025530208561313976], ""max_positive_nll"": [8.953987570983772, 8.953987570983772, 8.953987570983772, 8.953987570983772, 8.953987570983772], ""half_kl_positions"": [69, 69, 69, 69, 69]}, ""original"": {""mean_kl"": [0.00244796962532886, 0.00244796962532886, 0.00244796962532886, 0.00244796962532886, 0.00244796962532886], ""mean_signed_nll"": [0.0025530208561313976, 0.0025530208561313976, 0.0025530208561313976, 0.0025530208561313976, 0.0025530208561313976], ""max_positive_nll"": [8.953987570983772, 8.953987570983772, 8.953987570983772, 8.953987570983772, 8.953987570983772], ""half_kl_positions"": [69, 69, 69, 69, 69]}}"
